Station,Filename
VELLOORKUNNAM TEMPLE -MUVATTUPUZHA THODUPUZHA,muvattupuzha.json
KARUKAPPILLY,muvattupuzha.json
KARUKAPPILLY,ernakulam.json
PANAMKUZHY,muvattupuzha.json
THOTTUVA,muvattupuzha.json
THOTTUVA,ernakulam.json
KOTTAPADY- KOTHAMANGALAM- ANGAMALY,muvattupuzha.json
ANGAMALY JUNCTION,muvattupuzha.json
ANGAMALY BUS STAND,muvattupuzha.json
ALUVA- KOLENCHERY,muvattupuzha.json
UZHAVOOR,muvattupuzha.json
UZHAVOOR,kottayam.json
PURAPPUZHA,muvattupuzha.json
VAZHITHALA,muvattupuzha.json
VAZHITHALA,idukki.json
ANGAMALLY B S,muvattupuzha.json
TRIVENI,muvattupuzha.json
THEVARA JUNCTION,muvattupuzha.json
ERNAKULAM SOUTH,muvattupuzha.json
ERNAKULAM SOUTH,ernakulam.json
ERNAKULAM SOUTH,alappuzha.json
ERNAKULAM SOUTH,idukki.json
KAVUNGAPARAMBU,muvattupuzha.json
KOCHUPURACKAL KADAVU,muvattupuzha.json
VYTILA,muvattupuzha.json
KIZHAKKAMBALAM BUS ST AND,muvattupuzha.json
AROORTEMPLE,muvattupuzha.json
RAMAMANGALAM,muvattupuzha.json
RAMAMANGALAM,ernakulam.json
PUNNEKKAD,muvattupuzha.json
THIRUMARADY,muvattupuzha.json
KOLATHUKADAVU,muvattupuzha.json
POOOTHOTTA,muvattupuzha.json
ANCHAL PETTY,muvattupuzha.json
WEST MORAKKALA,muvattupuzha.json
MORAKKALA,muvattupuzha.json
KAVAKKADU,muvattupuzha.json
MUVATTUPUZHA PB,muvattupuzha.json
PAANAMKUZHI,muvattupuzha.json
KINFRA,muvattupuzha.json
KINFRA,ernakulam.json
AVOLICHAL -ALUVA,muvattupuzha.json
"KOTHAMANGALAM MUNICIPAL BUS STAND, KOT HAM ANGALAM, KERALA, INDIA",muvattupuzha.json
THODUPUZHA BS,muvattupuzha.json
KOTHAMNGALAMM,muvattupuzha.json
VANDAMATTOM- ALUVA.,muvattupuzha.json
VYTTILA,muvattupuzha.json
VYTTILA,ernakulam.json
VYTTILA,alappuzha.json
PALARIVATTOM,muvattupuzha.json
PALARIVATTOM,ernakulam.json
